# Seed city roster. Hand-maintained; safe to edit, add, or comment out with '#'.
#
# pop     is the denominator for the "10k to 10% of the city" band, so it should be
#         the CITY PROPER / administrative figure, not the metro area. Approximate is
#         fine — the band rule is a ratio test with a 70% threshold, not a precise cut.
# radiusKm is the half-width of the Overpass query box around lat/lon. Wide enough to
#         cover the built-up area; overlap with neighbouring cities is fine because
#         each candidate is assigned to its nearest seed city.
#
qid,name,country,lat,lon,pop,radiusKm
Q44210,Córdoba,AR,-31.4167,-64.1833,1505250,15
Q42308,Kharkiv,UA,49.9925,36.2311,1421125,13
Q126148,Tangier,MA,35.7696,-5.8034,1275428,13
Q185518,Mandalay,MM,21.9747,96.0836,1225546,13
Q225641,Mombasa,KE,-4.05,39.6667,1208333,13
Q52028,Chiang Mai,TH,18.7889,98.9833,1198000,13
Q485496,Shymkent,KZ,42.3,69.6,1191877,13
Q131694,Aden,YE,12.8,45.0333,1154410,13
Q2256,Birmingham,GB,52.48,-1.9025,1137100,13
Q159273,Arequipa,PE,-16.3989,-71.5369,1008290,13
Q223761,Bobo-Dioulasso,BF,11.1833,-4.2833,903887,13
Q122044,Lubango,AO,-14.9167,13.5,903564,13
Q30996,El Alto,BO,-16.5047,-68.1633,885035,13
Q856003,Klang,MY,3.0333,101.45,878000,13
Q31487,Kraków,PL,50.0614,19.9372,804237,13
Q131818,Oran,DZ,35.6969,-0.6331,803329,13
Q188693,Blantyre,MW,-15.7861,35.0058,800264,13
Q1479,Bordeaux,FR,44.8378,-0.5794,267991,12
Q109356,Hamhung,KP,39.9167,127.5333,768551,13
Q323801,Nampula,MZ,-15.1167,39.2667,743000,13
Q271000,Bouaké,CI,7.6833,-5.0331,740000,13
Q274584,San Pedro Sula,HN,15.5053,-88.0251,719064,13
Q2222874,Zanzibar City,TZ,-6.1667,39.2,709809,13
Q25287,Gothenburg,SE,57.7075,11.9675,674529,12
Q193250,Bulawayo,ZW,-20.1667,28.5667,665940,12
Q34370,Rotterdam,NL,51.92,4.48,664311,12
Q40816,Benghazi,LY,32.1167,20.0667,631555,12
Q492552,Namangan,UZ,40.9953,71.6725,626120,12
Q239580,Kitwe,ZM,-12.8208,28.2119,625000,12
Q45604,Kandahar,AF,31.6207,65.7159,614254,12
Q47492,Gaza City,PS,31.5075,34.4597,590481,12
Q1015727,Mbale City,UG,1.0712,34.175,586300,12
Q208718,Port Sudan,SD,19.6158,37.2164,579942,12
Q243293,Sekondi-Takoradi,GH,4.9167,-1.7667,539548,12
Q657072,Touba,SN,14.8665,-15.8994,529176,12
Q673275,Wolaita Sodo,ET,6.86,37.76,512498,12
Q117040,Santiago de Cuba,CU,20.0217,-75.8294,506037,12
Q11725,Chongqing,CN,29.55,106.5069,32054159,30
Q1355,Bengaluru,IN,12.9791,77.5913,12327000,30
Q35997,İzmir,TR,38.4127,27.1384,4493242,20
Q217432,Port Harcourt,NG,4.7655,7.0163,3480000,20
Q216075,Cần Thơ,VN,10.1547,105.5005,3207000,20
Q173985,Faisalabad,PK,31.418,73.079,3203846,20
Q20934,Incheon,KR,37.4639,126.6486,3049315,20
Q2844,Brasília,BR,-15.7939,-47.8828,2996899,15
Q10389,Bandung,ID,-6.9218,107.6071,2875673,15
Q34932,Brisbane,AU,-27.4678,153.0278,2706966,15
Q51103,Cali,CO,3.44,-76.5197,2471474,15
Q115256,Taoyuan,TW,24.9913,121.3143,2356795,15
Q11751,Nagoya,JP,35.1814,136.9064,2326844,15
Q205327,Kananga,CD,-5.8961,22.4167,1971704,15
Q124739,Tijuana,MX,32.5364,-117.0372,1964788,15
Q157915,Garoua,CM,9.3,13.4,1750000,15
Q883,Novosibirsk,RU,55.0333,82.9167,1637266,15
Q1726,Munich,DE,48.1375,11.575,1510378,15
Q54880,Valencia,VE,10.1667,-68.0,1484430,13
Q35484,Medina,SA,24.47,39.61,1411599,13
Q48195,Basra,IQ,30.515,47.81,1326564,13
Q36312,Calgary,CA,51.0475,-114.0625,1306784,13
Q52535,Rosario,AR,-32.9575,-60.6394,1193605,13
Q170366,Ahvaz,IR,31.3189,48.6842,1184788,13
Q80985,Fez,MA,34.0433,-5.0033,1167842,13
Q37400,Naypyidaw,MM,19.7475,96.115,1160242,13
Q1520,Astana,KZ,51.1333,71.4333,1078362,13
Q1629,Zamboanga,PH,6.9042,122.0761,1018849,13
Q1874,Odesa,UA,46.4775,30.7326,1010537,13
Q243325,Khulna,BD,22.8167,89.55,928891,13
Q214173,Trujillo,PE,-8.1119,-79.0289,919899,13
Q2634,Naples,IT,40.8358,14.2486,913462,13
Q271619,Ipoh,MY,4.6,101.07,866772,13
Q2304294,Viana,AO,-8.9117,13.371,865863,13
Q134509,Port Said,EG,31.2625,32.3061,791749,13
Q131301,Homs,SY,34.7333,36.7167,775404,13
Q24017120,City of Valencia,ES,39.4561,-0.3546,769128,13
Q234600,Al Ain,AE,24.2075,55.7447,766936,13
Q3926,Pretoria,ZA,-25.7464,28.1881,741651,13
Q110218,Mwanza,TZ,-2.5167,32.9,706453,13
Q1799,Wrocław,PL,51.11,17.0325,673531,12
Q109336,Chongjin,KP,41.7833,129.7833,667929,12
Q183124,Cochabamba,BO,-17.3935,-66.157,632013,12
Q4093,Glasgow,GB,55.8611,-4.25,626410,12
Q270041,Al Hudaydah,YE,14.8022,42.9511,617871,12
Q309475,El-Obeid,SD,13.1833,30.2167,560471,12
Q45313,Herat,AF,34.3419,62.2031,556205,12
Q36600,The Hague,NL,52.08,4.31,548320,12
Q487656,Andijan,UZ,40.7833,72.3506,547800,12
Q211563,Beira,MZ,-19.8333,34.85,530604,12
Q219671,Ndola,ZM,-12.9689,28.6325,528330,12
Q456,Lyon,FR,45.7675,4.835,519127,12
Q30002,Chengdu,CN,30.66,104.0633,20937757,30
Q1361,Hyderabad,IN,17.3617,78.4747,9191000,25
Q40738,Bursa,TR,40.1913,29.0805,2901396,15
Q25282,Da Nang,VN,16.0694,108.2097,2819900,15
Q43463,Fortaleza,BR,-3.7275,-38.5275,2578483,15
Q183298,Ibadan,NG,7.3775,3.9058,2559853,15
Q20927,Daegu,KR,35.8717,128.6017,2444412,15
Q3183,Perth,AU,-31.9558,115.8597,2141834,15
Q5972,Medan,ID,3.5894,98.6739,2109330,15
Q93230,Rawalpindi,PK,33.6007,73.0679,2098231,15
Q37951,Sapporo,JP,43.0619,141.3544,1959313,15
Q140631,Tainan,TW,22.99,120.185,1874686,15
Q187593,Lubumbashi,CD,-11.6642,27.4828,1786397,15
Q189128,León de Los Aldama,MX,21.1219,-101.6833,1579803,15
Q887,Yekaterinburg,RU,56.8356,60.6128,1468833,13
Q62823,Barranquilla,CO,10.9833,-74.8019,1326588,13
Q333928,Maracay,VE,10.2469,-67.5958,1102088,13
Q365,Cologne,DE,50.9422,6.9578,1024621,13
Q1930,Ottawa,CA,45.4247,-75.695,1017449,13
Q101625,Marrakech,MA,31.6295,-7.9811,1002697,13
Q173310,Kirkuk,IQ,35.4667,44.4,975000,13
Q48256,Dnipro,UA,48.4675,35.04,968502,13
Q1467,Cebu City,PH,10.293,123.902,965332,13
Q180078,Kermanshah,IR,34.3167,47.0686,946651,13
Q160320,Dammam,SA,26.4333,50.1,903312,13
Q207322,Huambo,AO,-12.7667,15.7333,844000,13
Q495,Turin,IT,45.0792,7.6761,841600,13
Q61092,George Town,MY,5.4111,100.3356,794313,13
Q134514,Suez,EG,29.9667,32.5333,716458,13
Q200030,Latakia,SY,35.52,35.7781,709000,13
Q55893348,Seville city,ES,37.3862,-5.9925,684025,12
Q580,Łódź,PL,51.75,19.4667,648711,12
Q466216,Ta'izz,YE,13.5789,44.0219,615467,12
Q44255,San Miguel de Tucumán,AR,-26.8167,-65.2167,601888,12
Q5468,Durban,ZA,-29.8583,31.025,595061,12
Q260911,Chiclayo,PE,-6.7717,-79.8383,552508,12
Q5753,Samarkand,UZ,39.6547,66.9758,546303,12
Q335548,Mbeya,TZ,-8.9,33.45,541603,12
Q39121,Leeds,GB,53.7975,-1.5436,536280,12
Q686813,Kassala,SD,15.45,36.4,536009,12
Q484706,Karaganda,KZ,49.8,73.1167,515632,12
Q7880,Toulouse,FR,43.6044,1.4433,514819,12
