Title,URL,lat,lon
Potato Mountain,https://www.google.com/maps/place/Potato+Mountain/data=!4m2!3m1!1s0x80c33a851b428823:0x1cec3bd94c5bd9d7,34.1657342,-117.6919594
DoubleTree by Hilton Hotel Claremont,https://www.google.com/maps/place/DoubleTree+by+Hilton+Hotel+Claremont/data=!4m2!3m1!1s0x80c331ce6a217bff:0x2ef7a2c29b1161b3,34.1075692,-117.7238606
Claremont Hills Wilderness Park,https://www.google.com/maps/place/Claremont+Hills+Wilderness+Park/data=!4m2!3m1!1s0x80c3306c2179ff63:0xbce3f5eaf562dec8,34.142072,-117.7074766
Little Mo,https://www.google.com/maps/place/Little+Mo/data=!4m2!3m1!1s0x89c25c085b195555:0x9c19cb8f6cd22835,40.6969919,-73.9336783
NYC Pet Direct,https://www.google.com/maps/place/NYC+Pet+Direct/data=!4m2!3m1!1s0x89c25bfc1aa70763:0x88df105a42449109,40.7055266,-73.9426223
Sage,https://www.google.com/maps/place/Sage/data=!4m2!3m1!1s0x89c25956fb6c1891:0x7b48bcec263d797a,40.7129833,-73.9443222
Historic Reservoir #3 Preserve,https://www.google.com/maps/place/Historic+Reservoir+%233+Preserve/data=!4m2!3m1!1s0x89c2573f45c21b13:0x275e936f96c5c951,40.7412218,-74.0545471
Formosa,https://www.google.com/maps/place/Formosa/data=!4m2!3m1!1s0x89c25d5f8a5bebed:0xd6b18704a1bfa760,40.6992352,-73.93156809999999
Ramen Misoya West Village,https://www.google.com/maps/place/Ramen+Misoya+West+Village/data=!4m2!3m1!1s0x89c2594ba4d571dd:0xd1b8dfdbd75b2576,40.73461700000001,-74.00635439999999
Greenpoint Original Pizza,https://www.google.com/maps/place/Greenpoint+Original+Pizza/data=!4m2!3m1!1s0x89c259c77e5934d9:0xe727c76c5eaa6719,40.7256992,-73.9515065
Thai Me,https://www.google.com/maps/place/Thai+Me/data=!4m2!3m1!1s0x89c25b73cefdd54d:0x165a13bf9d56712,40.69729230000001,-73.9361038
Juju Cafe and Deli,https://www.google.com/maps/place/Juju+Cafe+and+Deli/data=!4m2!3m1!1s0x89c25b7d3a3c8def:0xed596be33f38333f,40.6869115,-73.9901908
Débutea Brooklyn,https://www.google.com/maps/place/D%C3%A9butea+Brooklyn/data=!4m2!3m1!1s0x89c25b91cf36857f:0x49ffce9205a20a15,40.68935829999999,-73.98841469999999
Guacuco Bed-Stuy,https://www.google.com/maps/place/Guacuco+Bed-Stuy/data=!4m2!3m1!1s0x89c25bf3720f76d1:0xee31474537e3753c,40.69198720000001,-73.94301209999999
Third Kingdom (formerly And Beer NYC),https://www.google.com/maps/place/Third+Kingdom+(formerly+And+Beer+NYC)/data=!4m2!3m1!1s0x89c259a4a5cd8e7f:0x787a845097c62f6a,40.72864999999999,-73.9893618
Sunrise/Sunset,https://www.google.com/maps/place/Sunrise%2FSunset/data=!4m2!3m1!1s0x89c25c11b8923b79:0xde49af7f07a01792,40.6937446,-73.9227736
La petite joie,https://www.google.com/maps/place/La+petite+joie/data=!4m2!3m1!1s0x89c259ba136a8acd:0x863ecc9b3f732f95,40.717694,-73.9524272
Molasses Books,https://www.google.com/maps/place/Molasses+Books/data=!4m2!3m1!1s0x89c25c1b340d033f:0xabefec7672fea6a6,40.7006193,-73.9237572
Old Croton Trailway State Park,https://www.google.com/maps/place/Old+Croton+Trailway+State+Park/data=!4m2!3m1!1s0x89c2ed09ae160a9d:0xadd2654d37a4b94e,40.9652594,-73.8896911
Fieldston,https://www.google.com/maps/place/Fieldston/data=!4m2!3m1!1s0x89c2f3b06b78396b:0xb7dbb62c88caf5f0,40.8964814,-73.9023362
PEARL DYNASTEA,https://www.google.com/maps/place/PEARL+DYNASTEA/data=!4m2!3m1!1s0x89c2f3bd970f8813:0x4f36d77f6f3a62e2,40.88688030000001,-73.9068103
Paxos Grill & Cafe,https://www.google.com/maps/place/Paxos+Grill+%26+Cafe/data=!4m2!3m1!1s0x89c2f27a6a677d89:0xc697c5676f157f4b,40.9341358,-73.8993666
Untermyer Gardens,https://www.google.com/maps/place/Untermyer+Gardens/data=!4m2!3m1!1s0x89c2ed0835a9f315:0x844cbd353c1d036d,40.9659926,-73.8859748
Mao Mao,https://www.google.com/maps/place/Mao+Mao/data=!4m2!3m1!1s0x89c25d830a5d0c9d:0xc42b29d2e42cba38,40.69579900000001,-73.9334587
Brooklyn Public Library - Bushwick Branch,https://www.google.com/maps/place/Brooklyn+Public+Library+-+Bushwick+Branch/data=!4m2!3m1!1s0x89c25bfed6ad03dd:0x6bd88363e9a7ad56,40.7045694,-73.9396101
Chipotle Mexican Grill,https://www.google.com/maps/place/Chipotle+Mexican+Grill/data=!4m2!3m1!1s0x47f4ebb75b04c1ef:0xf2acae28149fce2a,45.7601385,4.8560511
Font ornamental,https://www.google.com/maps/place/Font+ornamental/data=!4m2!3m1!1s0x12a4a30031b175a7:0x3081351b90570913,41.3895639,2.1865854
Mercat de la Boqueria,https://www.google.com/maps/place/Mercat+de+la+Boqueria/data=!4m2!3m1!1s0x12a4a2f7b51e5a01:0x860ac654dc73add5,41.3817399,2.1715853
Mirador Barcelona,https://www.google.com/maps/place/Mirador+Barcelona/data=!4m2!3m1!1s0x12a4a3ac3bab9dfb:0x6614b4e7ea80fa5a,41.3690339,2.1531862
Playa de Bogatell,https://www.google.com/maps/place/Playa+de+Bogatell/data=!4m2!3m1!1s0x12a4a36c5a05f533:0x6542d4e99e12dfa6,41.3943735,2.2070109
Tokyo Mart Japanese Market,https://www.google.com/maps/place/Tokyo+Mart+Japanese+Market/data=!4m2!3m1!1s0x89c2592ee377fb2d:0xc87e462637c2afff,40.7112086,-73.95055219999999
Horseradish Market,https://www.google.com/maps/place/Horseradish+Market/data=!4m2!3m1!1s0x89c25b925f1dff55:0x26db14e4c94f0261,40.6989884,-73.938563
South Cove Park,https://www.google.com/maps/place/South+Cove+Park/data=!4m2!3m1!1s0x89c25a11d88f083d:0xabde176fddde65f5,40.7070571,-74.0183528
Western Beef Supermarket,https://www.google.com/maps/place/Western+Beef+Supermarket/data=!4m2!3m1!1s0x89c25ea48c5a2af3:0xa83effc359748bbf,40.7141938,-73.9198147
Bajeko Sekuwa,https://www.google.com/maps/place/Bajeko+Sekuwa/data=!4m2!3m1!1s0x89c25f6ead56ba71:0x956b2525a7494bb,40.7430663,-73.9209461
Crystal Lake Brooklyn,https://www.google.com/maps/place/Crystal+Lake+Brooklyn/data=!4m2!3m1!1s0x89c25957ead15555:0xa2121e78f9041a00,40.7116099,-73.9464268
Mt Tammany,https://www.google.com/maps/place/Mt+Tammany/data=!4m2!3m1!1s0x89c4879f4b70335f:0x62dee870ea463250,40.9690032,-75.1119002
Pratt Playground,https://www.google.com/maps/place/Pratt+Playground/data=!4m2!3m1!1s0x89c25bbf78ae2871:0x1d4c59d8bbd2bd80,40.6925373,-73.96247819999999
DubuHaus,https://www.google.com/maps/place/DubuHaus/data=!4m2!3m1!1s0x89c259949e33302d:0xe78c66bf04da82f4,40.7466347,-73.9849148
Toad Style,https://www.google.com/maps/place/Toad+Style/data=!4m2!3m1!1s0x89c25c6d4ec3b545:0x90c4e9894d526f96,40.6868718,-73.9233316
National Museum of,https://www.google.com/maps/place/National+Museum+of/data=!4m2!3m1!1s0x89b7b783fc58e717:0xde1953f24f51818,38.8883484,-77.01650339999999
Lincoln Memorial Reflecting Pool,https://www.google.com/maps/place/Lincoln+Memorial+Reflecting+Pool/data=!4m2!3m1!1s0x89b7b7a62b231d65:0xab9815d589ca6caf,38.8893459,-77.0447157
Laos in Town,https://www.google.com/maps/place/Laos+in+Town/data=!4m2!3m1!1s0x89b7b9d9c12b6a39:0x73823ca9c36542ad,38.9027633,-77.0022651
Labyrinth Games & Puzzles,https://www.google.com/maps/place/Labyrinth+Games+%26+Puzzles/data=!4m2!3m1!1s0x89b7b8324529febf:0xed73e536b6a61d22,38.8846717,-76.9968619
Teaism Lafayette Park,https://www.google.com/maps/place/Teaism+Lafayette+Park/data=!4m2!3m1!1s0x89b7b7bc4c4fd5a5:0x856f4e58654c0a16,38.900343,-77.03853099999999
Washington Union,https://www.google.com/maps/place/Washington+Union/data=!4m2!3m1!1s0x89b7b826c99c9801:0xeb85b108ec9e4275,38.897419,-77.006226
JF Books,https://www.google.com/maps/place/JF+Books/data=!4m2!3m1!1s0x89b7b7f35b6830bb:0xbc43cc2520ac8466,38.9107119,-77.043719
Un je ne sais Quoi...,https://www.google.com/maps/place/Un+je+ne+sais+Quoi.../data=!4m2!3m1!1s0x89b7b7c7a5060359:0x9f363719e25e849e,38.9088281,-77.04261369999999
Mardirossian Facial Aesthetics,https://www.google.com/maps/place/Mardirossian+Facial+Aesthetics/data=!4m2!3m1!1s0x88ded58ee8e731d7:0x1dc27240bf6d2c35,38.9349782,-77.1759708
Nelly's Flowers And Plants,https://www.google.com/maps/place/Nelly's+Flowers+And+Plants/data=!4m2!3m1!1s0x89c25be486df0229:0x56d18c7353abb0a,40.7057628,-73.9505562
20 Gram Cafe,https://www.google.com/maps/place/20+Gram+Cafe/data=!4m2!3m1!1s0x89c25933244b63a1:0xa3c5df3e9a7495f3,40.7321227,-73.9598154
Yough,https://www.google.com/maps/place/Yough/data=!4m2!3m1!1s0x89c25d9ae608164f:0x2835204fcd67505b,40.7036243,-73.9263952
Cafe Rumi,https://www.google.com/maps/place/Cafe+Rumi/data=!4m2!3m1!1s0x89c25be4e3149b2f:0x1a08c870450791f4,40.7063727,-74.011896
Don Filippo,https://www.google.com/maps/place/Don+Filippo/data=!4m2!3m1!1s0x89c258be25bb07e5:0x247ba7a02c73160b,40.774559,-73.958913
Belvedere Castle,https://www.google.com/maps/place/Belvedere+Castle/data=!4m2!3m1!1s0x89c258efe1df7c15:0x88efe22fb72978b5,40.7794302,-73.9690677
Shuka,https://www.google.com/maps/place/Shuka/data=!4m2!3m1!1s0x89c2598d97dcd6dd:0xb97a39d45e2be2a2,40.7270639,-74.0027877
Rolo’s,https://www.google.com/maps/place/Rolo%E2%80%99s/data=!4m2!3m1!1s0x89c25d083d684859:0xc59c8c9aa3f0c062,40.7019431,-73.903537
Caraotas,https://www.google.com/maps/place/Caraotas/data=!4m2!3m1!1s0x89c25d2284104dfd:0x33e762824213d027,40.7021925,-73.9203442
Uzuki,https://www.google.com/maps/place/Uzuki/data=!4m2!3m1!1s0x89c25965763e5337:0x1615a7413420279e,40.7245208,-73.9534583
Ichiran,https://www.google.com/maps/place/Ichiran/data=!4m2!3m1!1s0x89c25c0034670c0f:0xe65b1b2bc6ad199d,40.7075228,-73.9331878
TSAOCAA,https://www.google.com/maps/place/TSAOCAA/data=!4m2!3m1!1s0x89c25b0062049967:0x825d7458e1f119bc,40.6868308,-73.990203
fontainhas + (/du.kaan/),https://www.google.com/maps/place/fontainhas+%2B+(%2Fdu.kaan%2F)/data=!4m2!3m1!1s0x89c25b007f9dc74f:0x7aca8ab94b23434c,40.7038367,-73.98673149999999
East River Promenade,https://www.google.com/maps/place/East+River+Promenade/data=!4m2!3m1!1s0x89c2597c8c9f0bb5:0xf422e78f41137489,40.7180492,-73.9738078
High & Dry Coffee Bar,https://www.google.com/maps/place/High+%26+Dry+Coffee+Bar/data=!4m2!3m1!1s0x89c25befb9f5ecbf:0xfc838c0ca732b757,40.6980021,-73.9367793
Japan Village,https://www.google.com/maps/place/Japan+Village/data=!4m2!3m1!1s0x89c25abf14eaaaab:0x78530e98b3cc75f2,40.656103,-74.0064373
A-un Brooklyn,https://www.google.com/maps/place/A-un+Brooklyn/data=!4m2!3m1!1s0x89c25d640cfbe617:0xa9a42870d9a4ce43,40.7041433,-73.9280254
Topos Bookstore Cafe,https://www.google.com/maps/place/Topos+Bookstore+Cafe/data=!4m2!3m1!1s0x89c25c2778053eab:0x8c3e75d4cb3de580,40.703513,-73.9035772
supreme pizza NY,https://www.google.com/maps/place/supreme+pizza+NY/data=!4m2!3m1!1s0x89c25a4b90d6c8eb:0xb454f4c506c7c8af,40.6920952,-73.9870662
Dragon Tea,https://www.google.com/maps/place/Dragon+Tea/data=!4m2!3m1!1s0x89c25bf3c2606443:0x9a68a032ce2b0a3e,40.7085281,-74.0136016
Foodtown of Noll,https://www.google.com/maps/place/Foodtown+of+Noll/data=!4m2!3m1!1s0x89c25d0052feaacd:0xbdd4832d609dff5e,40.7007261,-73.9332443
ROCCO'S OF ROC BEACH COAL BRICK OVEN PIZZA BAR & RESTAURANT ITALIANO,https://www.google.com/maps/place/ROCCO'S+OF+ROC+BEACH+COAL+BRICK+OVEN+PIZZA+BAR+%26+RESTAURANT+ITALIANO/data=!4m2!3m1!1s0x0:0x8f763235108010fd,40.5801181,-73.8367373
Bari,https://www.google.com/maps/place/Bari/data=!4m2!3m1!1s0x89c2ea0e04347eeb:0x8be9220ace5b94a6,41.0911765,-73.91881099999999
Hook Mountain State Park,https://www.google.com/maps/place/Hook+Mountain+State+Park/data=!4m2!3m1!1s0x89c2c19853be7037:0xaee44894689be7d0,41.12789,-73.9123248
Manhattan Bridge Orthodontics,https://www.google.com/maps/place/Manhattan+Bridge+Orthodontics/data=!4m2!3m1!1s0x89c25a27e61960b3:0xc747c0abcb23d67d,40.71666949999999,-73.9955354
Boran,https://www.google.com/maps/place/Boran/data=!4m2!3m1!1s0x89c25a58823effff:0xabaf8c5b5604ee20,40.678239,-73.998142
Le Botaniste,https://www.google.com/maps/place/Le+Botaniste/data=!4m2!3m1!1s0x89c2598978a8e6bb:0xdfb7092e1feeb899,40.7204931,-74.0002294
Holland Tunnel Ventilation Shaft 2,https://www.google.com/maps/place/Holland+Tunnel+Ventilation+Shaft+2/data=!4m2!3m1!1s0x0:0x897f6e29c7c4958,40.7265857,-74.01491140000002
The New York Historical,https://www.google.com/maps/place/The+New+York+Historical/data=!4m2!3m1!1s0x0:0x505d79b92e16a75e,40.77934870000001,-73.9739079
Sanuki Udon,https://www.google.com/maps/place/Sanuki+Udon/data=!4m2!3m1!1s0x89c2590798e2e835:0x762594b568ae780b,40.7292976,-73.9955598
Penny Bridge,https://www.google.com/maps/place/Penny+Bridge/data=!4m2!3m1!1s0x89c25fd121841409:0x686b70980c2af323,40.728036,-73.9322641
Tavern On the Green,https://www.google.com/maps/place/Tavern+On+the+Green/data=!4m2!3m1!1s0x89c258f4bf692e2b:0xe7a80a896e96aa05,40.7724202,-73.9772631
Mark's Red Hook Pizza,https://www.google.com/maps/place/Mark's+Red+Hook+Pizza/data=!4m2!3m1!1s0x89c25a8a160fb0f9:0x994c6d02314dbca1,40.6788359,-74.01143549999999
"Louis Valentino, Jr. Park and Pier","https://www.google.com/maps/place/Louis+Valentino,+Jr.+Park+and+Pier/data=!4m2!3m1!1s0x89c25a88878c79ab:0x972b7eba537f19d5",40.6784075,-74.0181413
Covert BK,https://www.google.com/maps/place/Covert+BK/data=!4m2!3m1!1s0x89c25c6abf2fc6e1:0x41260e15ab631737,40.6849844,-73.9137944
IKEA,https://www.google.com/maps/place/IKEA/data=!4m2!3m1!1s0x89c28119531bb729:0xd1d954898584e22f,40.7748094,-73.53100529999999
Anjappar Indian Cuisine,https://www.google.com/maps/place/Anjappar+Indian+Cuisine/data=!4m2!3m1!1s0x89c25909d4fd1d69:0x2982f827d4c7bdda,40.74261010000001,-73.9827687
Wonderville,https://www.google.com/maps/place/Wonderville/data=!4m2!3m1!1s0x89c25dbf7a0a5e67:0xa55f67b3268ab0e4,40.6923719,-73.9274634
abcV,https://www.google.com/maps/place/abcV/data=!4m2!3m1!1s0x89c259a225db7ac5:0x1e26c04d3e270100,40.7379803,-73.98928409999999
Matryoshka,https://www.google.com/maps/place/Matryoshka/data=!4m2!3m1!1s0x89c25a22b27e7627:0x270bead4c199e23f,40.709189,-74.005899
Poke Bowl NY,https://www.google.com/maps/place/Poke+Bowl+NY/data=!4m2!3m1!1s0x89c25b0547feee33:0xa30f963ee3d375d7,40.7101477,-74.0074044
Gong Cha Greenpoint,https://www.google.com/maps/place/Gong+Cha+Greenpoint/data=!4m2!3m1!1s0x0:0xd7101385137aa01,40.7270647,-73.9524501
Tofubox,https://www.google.com/maps/place/Tofubox/data=!4m2!3m1!1s0x89c259f02f8b7daf:0x739febe6e30c3b9f,40.71121,-73.94680679999999
