Title,Note,URL,Tags,Comment
Woori Korean Restaurant,,https://www.google.com/maps/place/Woori+Korean+Restaurant/data=!4m2!3m1!1s0x89c25b6227dd6511:0x1ed7162fa40a398,,
Birdy's,,https://www.google.com/maps/place/Birdy's/data=!4m2!3m1!1s0x89c25c08bd996569:0xb194b3a03b0df241,,
Charlotte Beach,,https://www.google.com/maps/place/Charlotte+Beach/data=!4m2!3m1!1s0x89c25992b6e408ef:0x4194de33743be37f,,
The Brooklyn Monarch,,https://www.google.com/maps/place/The+Brooklyn+Monarch/data=!4m2!3m1!1s0x89c259303ba00929:0x5c02c8fda6e95631,,
Domino Park,,https://www.google.com/maps/place/Domino+Park/data=!4m2!3m1!1s0x89c25941934bb85f:0x486aa5dc8e5c1416,,
Pokebab,,https://www.google.com/maps/place/Pokebab/data=!4m2!3m1!1s0x89c2595e08eecf79:0x7d88dc3d2b612df0,,
Fort Greene Park,,https://www.google.com/maps/place/Fort+Greene+Park/data=!4m2!3m1!1s0x89c25bb6edaffebd:0x78ef226ebb3eed50,,
ISKCON New York City - Hare Krishna Center,,https://www.google.com/maps/place/ISKCON+New+York+City+-+Hare+Krishna+Center/data=!4m2!3m1!1s0x89c25bb2da930f05:0x19d916725467c69,,
Café Kitsuné Boerum Hill,,https://www.google.com/maps/place/Caf%C3%A9+Kitsun%C3%A9+Boerum+Hill/data=!4m2!3m1!1s0x89c25bcbd78b22af:0x245a6a7b132e701c,,
Brooklyn Heights Promenade,,https://www.google.com/maps/place/Brooklyn+Heights+Promenade/data=!4m2!3m1!1s0x89c25a3702f50593:0xbe1607c739dedac7,,
Brooklyn Bridge Park,,https://www.google.com/maps/place/Brooklyn+Bridge+Park/data=!4m2!3m1!1s0x89c25a46a369a18d:0xa109779d5185c305,,
Next Stop Vegan,,https://www.google.com/maps/place/Next+Stop+Vegan/data=!4m2!3m1!1s0x89c25b77a98e17b7:0x712507af7d39536b,,
New York Transit Museum,,https://www.google.com/maps/place/New+York+Transit+Museum/data=!4m2!3m1!1s0x89c25a55356a3875:0xe3b6af03517c4e16,,
RAS Plant Based,,https://www.google.com/maps/place/RAS+Plant+Based/data=!4m2!3m1!1s0x89c25b48402a670b:0x5cd9b1214a892dc4,,
Murmrr,,https://www.google.com/maps/place/Murmrr/data=!4m2!3m1!1s0x89c25b09d17518a1:0xa37f0033477ac1b5,,
Urban Jungle,,https://www.google.com/maps/place/Urban+Jungle/data=!4m2!3m1!1s0x89c25c03d0200731:0xc716b18c26c0cda0,,
Ninth Street Bridge,,https://www.google.com/maps/place/Ninth+Street+Bridge/data=!4m2!3m1!1s0x89c25af73e4593f5:0x160c1c78a9435a0f,,
Rowing Launch Ramp,,https://www.google.com/maps/place/Rowing+Launch+Ramp/data=!4m2!3m1!1s0x89c25b179c6e543d:0x7bbbccdb39d271ad,,
The Green-Wood Cemetery,,https://www.google.com/maps/place/The+Green-Wood+Cemetery/data=!4m2!3m1!1s0x89c25ac2ce420ae7:0xad7fab8221c4fc67,,
Bowling Green,,https://www.google.com/maps/place/Bowling+Green/data=!4m2!3m1!1s0x89c25a115e5301cb:0x43730798e89e8d2,,
Tin Building by Jean-Georges,,https://www.google.com/maps/place/Tin+Building+by+Jean-Georges/data=!4m2!3m1!1s0x89c25b5c2fb3c20f:0x9445c2a840caa981,,
Nish Nush,,https://www.google.com/maps/place/Nish+Nush/data=!4m2!3m1!1s0x89c25a1f6be434d3:0x27455c7c9d107e80,,
Gunbae,,https://www.google.com/maps/place/Gunbae/data=!4m2!3m1!1s0x89c25a1ecd8e4331:0x4091bdffd33d338a,,
Takahachi Bakery,,https://www.google.com/maps/place/Takahachi+Bakery/data=!4m2!3m1!1s0x89c25a18c8ab0343:0x9a24de4ed521cfd3,,
Chipotle Mexican Grill,,https://www.google.com/maps/place/Chipotle+Mexican+Grill/data=!4m2!3m1!1s0x89c25a21e2cd7675:0x235aaaa8ad11dfd7,,
SuperFresh Two Bridges,,https://www.google.com/maps/place/SuperFresh+Two+Bridges/data=!4m2!3m1!1s0x89c25a247992969d:0x1d261ef01d0f00ee,,
Battery Park City Gourmet Market,,https://www.google.com/maps/place/Battery+Park+City+Gourmet+Market/data=!4m2!3m1!1s0x89c25a1c35e3a531:0x78aa45cc26131c54,,
Whole Foods Market,,https://www.google.com/maps/place/Whole+Foods+Market/data=!4m2!3m1!1s0x89c2598ae6598097:0x4020d3caec271d51,,
Rockefeller Park,,https://www.google.com/maps/place/Rockefeller+Park/data=!4m2!3m1!1s0x89c25a11c214c60f:0xb525cde92467ef16,,
Teardrop Park,,https://www.google.com/maps/place/Teardrop+Park/data=!4m2!3m1!1s0x89c25a1cf46098b3:0xc5229f4d55bceb37,,
Stuyvesant High School,,https://www.google.com/maps/place/Stuyvesant+High+School/data=!4m2!3m1!1s0x89c25a1db5f8b8c9:0xb5084500683f46f9,,
Brookfield Place,,https://www.google.com/maps/place/Brookfield+Place/data=!4m2!3m1!1s0x89c25a1b0cd3c8cb:0xf4ba617cb0ddc07,,
Dropped pin,,"https://www.google.com/maps/search/40.7077077,-73.9997565",,
Xi'an Famous Foods 西安名吃 | Financial District,,https://www.google.com/maps/place/Xi'an+Famous+Foods+%E8%A5%BF%E5%AE%89%E5%90%8D%E5%90%83+%7C+Financial+District/data=!4m2!3m1!1s0x89c25b983f12f9af:0x97cbe95d20a93e08,,
Burger King,,https://www.google.com/maps/place/Burger+King/data=!4m2!3m1!1s0x89c25a22cae107fd:0x1172b5bf31177a93,,
Trinity Church,,https://www.google.com/maps/place/Trinity+Church/data=!4m2!3m1!1s0x89c25a10ced9576d:0x108ca86bfa93609e,,
Le Pain Quotidien,,https://www.google.com/maps/place/Le+Pain+Quotidien/data=!4m2!3m1!1s0x89c25a14171f1ce1:0x1f6e85e79796beb8,,
IKEA,,https://www.google.com/maps/place/IKEA/data=!4m2!3m1!1s0x89c25a8dc5824073:0x9716464a8278360a,,
Kinokuniya Shinjuku Main Store,,https://www.google.com/maps/place/Kinokuniya+Shinjuku+Main+Store/data=!4m2!3m1!1s0x60186092cf48325d:0x24ac346bd72018a3,,
Shinjuku Marui Annex,,https://www.google.com/maps/place/Shinjuku+Marui+Annex/data=!4m2!3m1!1s0x60188cdb5b6aaaab:0x8717a26828d19a93,,
Sekaido Shinjuku,,https://www.google.com/maps/place/Sekaido+Shinjuku/data=!4m2!3m1!1s0x60188cdb568a6c15:0x4c84ac4975ce203,,
Palermo,,https://www.google.com/maps/place/Palermo/data=!4m2!3m1!1s0x60188d6634025afd:0x3bf7cc2182027b08,,
Riverside Park South,,https://www.google.com/maps/place/Riverside+Park+South/data=!4m2!3m1!1s0x89c258673741e3b1:0xf1ced98ed4380659,,
Frankford Hall,,https://www.google.com/maps/place/Frankford+Hall/data=!4m2!3m1!1s0x89c6c8697963d74f:0xefe38747d15a28c7,,
Chongligeng,,https://www.google.com/maps/place/Chongligeng/data=!4m2!3m1!1s0x35cb1c1a0b22a9b9:0xbfd4893ebdbce4bd,,
Woniu Residential District,,https://www.google.com/maps/place/Woniu+Residential+District/data=!4m2!3m1!1s0x35cb21b76baec345:0x5bd744882f43d4d4,,
Hefei,,https://www.google.com/maps/place/Hefei/data=!4m2!3m1!1s0x35cb640ef207cf9d:0xdc151173f2c33299,,
Nanjing,,https://www.google.com/maps/place/Nanjing/data=!4m2!3m1!1s0x35b58c9b668dcd83:0x8ffbb60b79df1b06,,
Bombay Chowk,,https://www.google.com/maps/place/Bombay+Chowk/data=!4m2!3m1!1s0x89c259191245f4e3:0x71d813ac1e5259a6,,
Goodwill NYNJ Store & Donation Center,,https://www.google.com/maps/place/Goodwill+NYNJ+Store+%26+Donation+Center/data=!4m2!3m1!1s0x89c258e7ebe25797:0x92ab357d7675e8ff,,
Rockaway Beach,,https://www.google.com/maps/place/Rockaway+Beach/data=!4m2!3m1!1s0x89c268463993b79b:0x120f3543e1685b3,,
Canarsie Pier,,https://www.google.com/maps/place/Canarsie+Pier/data=!4m2!3m1!1s0x89c25d299928fa7b:0x1bed8dded1c278fc,,
Plumb Beach (Gateway National Recreation Area),,https://www.google.com/maps/place/Plumb+Beach+(Gateway+National+Recreation+Area)/data=!4m2!3m1!1s0x89c2439c7c2f8f19:0xbf07ba241a4112ec,,
Deno's Wonder Wheel Amusement Park,,https://www.google.com/maps/place/Deno's+Wonder+Wheel+Amusement+Park/data=!4m2!3m1!1s0x89c24434534167ab:0x8cb4eba7154607ba,,
Luna Park in Coney Island,,https://www.google.com/maps/place/Luna+Park+in+Coney+Island/data=!4m2!3m1!1s0x89c2443594b7c71d:0x1503bf4bfd6f2c6f,,
New York Aquarium,,https://www.google.com/maps/place/New+York+Aquarium/data=!4m2!3m1!1s0x89c244360f1e1371:0x45f54e3a5017dbdc,,
Good View,,https://www.google.com/maps/place/Good+View/data=!4m2!3m1!1s0x89c24513dda5a977:0xdfffbaf9db94cce,,
20 Av,,https://www.google.com/maps/place/20+Av/data=!4m2!3m1!1s0x89c2450eda725277:0xca0153a792d0e65a,,
Angelina Paris Lexington,,https://www.google.com/maps/place/Angelina+Paris+Lexington/data=!4m2!3m1!1s0x89c259c87e371833:0x87cdb65045b9fc25,,
East Meadow,,https://www.google.com/maps/place/East+Meadow/data=!4m2!3m1!1s0x89c258a09a659229:0x3f109fc8569de5f1,,
Bacheng Ecology Wetland Park,,https://www.google.com/maps/place/Bacheng+Ecology+Wetland+Park/data=!4m2!3m1!1s0x35b3b2765b2fec3b:0x44b0c17e54e506e0,,
99 Ranch Market,,https://www.google.com/maps/place/99+Ranch+Market/data=!4m2!3m1!1s0x80c336610b11a3d7:0xdad5397feee4e9e7,,
UNIQLO Ontario Mills,,https://www.google.com/maps/place/UNIQLO+Ontario+Mills/data=!4m2!3m1!1s0x80c3357f4007bb91:0x98ae85a2487fca18,,
Alley Athletic Playground,,https://www.google.com/maps/place/Alley+Athletic+Playground/data=!4m2!3m1!1s0x89c26218049f5429:0xa0b88328b4c8a58,,
