,route,route_id,route_dir,route_shor,route_long,ridership,color
240,BX2,BX2,BX2_1,Bx2,Kingsbridge Heights - Mott Haven,6558,#66e150
173,Q3,Q3,Q3_0,Q3,Jamaica - JFK Airport,6511,#7ab7a7
174,Q3,Q3,Q3_1,Q3,Jamaica - JFK Airport,6511,#7ab7a7
165,Q30,Q30,Q30_0,Q30,Little Neck or Queensborough Community College - Jamaica,6434,#6d90c4
166,Q30,Q30,Q30_1,Q30,Little Neck or Queensborough Community College - Jamaica,6434,#6d90c4
140,Q12,Q12,Q12_1,Q12,Little Neck - Flushing,6405,#f0d741
139,Q12,Q12,Q12_0,Q12,Little Neck - Flushing,6405,#f0d741
485,Q52,Q52+,Q52+_1,Q52-SBS,Elmhurst - Arverne,6229,#4541f0
486,Q53,Q53+,Q53+_0,Q53-SBS,Woodside - Rockaway Park,6229,#7636fb
487,Q53,Q53+,Q53+_1,Q53-SBS,Woodside - Rockaway Park,6229,#7636fb
484,Q52,Q52+,Q52+_0,Q52-SBS,Elmhurst - Arverne,6229,#4541f0
355,B52,B52,B52_0,B52,Downtown Brooklyn - Ridgewood,6228,#be9c73
356,B52,B52,B52_1,B52,Downtown Brooklyn - Ridgewood,6228,#be9c73
292,B12,B12,B12_1,B12,Lefferts Gardens - East New York,6222,#69c8c6
291,B12,B12,B12_0,B12,Lefferts Gardens - East New York,6222,#69c8c6
202,BX10,BX10,BX10_1,Bx10,Riverdale - Norwood,6198,#c869b5
201,BX10,BX10,BX10_0,Bx10,Riverdale - Norwood,6198,#c869b5
260,BX3,BX3,BX3_1,Bx3,Riverdale - George Washington Bridge,5978,#9e48e9
259,BX3,BX3,BX3_0,Bx3,Riverdale - George Washington Bridge,5978,#9e48e9
62,M66,M66,M66_0,M66,East Side - Lincoln Center,5910,#da8857
63,M66,M66,M66_1,M66,East Side - Lincoln Center,5910,#da8857
470,Q38,Q38,Q38_0,Q38,Eliot Ave - Penelope Ave,5900,#b8a579
471,Q38,Q38,Q38_1,Q38,Eliot Ave - Penelope Ave,5900,#b8a579
