,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022 - 2023 Change,,2023 Rank
38,Q100,,4133.035433070866,4063.5644,1985.0,1953.4203,2421.6314,2549.0,,127.36859999999979,0.05259619610152056,38
39,Q101,,3770.5748031496064,3873.3668,2334.0,2135.5619,2299.5607,2604.0,,304.4393,0.13239019957159645,37
40,Q102,,3211.5,2749.1452,1670.0,1509.6697,1655.9949,2010.0,,354.0051000000001,0.21377185400752147,41
41,Q103,,1739.708661417323,1746.4463,860.0,858.9991,1061.609,1092.0,,30.391000000000076,0.028627300635168013,45
42,Q104,,2284.1259842519685,2230.7933,1267.0,1363.3257,1618.5778,1745.0,,126.42219999999998,0.07810696526296108,44
43,Q110,,5914.51968503937,5505.3405,2089.0,3360.0882,3955.2742,4185.0,,229.72580000000016,0.058080878438213,24
44,Q111,,11124.448818897637,10680.2953,7097.0,7240.6371,7877.5945,7805.0,,-72.59450000000015,-0.009215313126361119,8
45,Q112,,5471.55905511811,5188.629,1964.0,3068.9866,3327.0983,3443.0,,115.90169999999989,0.03483567046997075,28
46,Q113,,3827.7913385826773,3685.5092,1907.0,2301.4456,2480.8417,2448.0,,-32.841699999999946,-0.013238128011150388,39
47,Q114,,5892.157480314961,5523.1641,3490.0,3835.5229,4003.3468,4075.0,,71.6532000000002,0.0178983244719144,25
48,Local Total,,362528.13671168976,359306.30770000006,193926.0,212275.65819999998,245312.08290000004,252653.0,,7340.917099999962,0.02992480848565638,
49,Express Routes,,,,,,,,,,,
50,BM1,,1018.9015748031496,996.685,423.0,508.0632,796.8661,921.0,,124.13390000000004,0.15577761433194365,10
51,BM2,,734.3188976377953,721.8189,358.0,457.2727,690.2087,765.0,,74.79129999999998,0.10836041330687367,11
52,BM3,,680.7677165354331,666.6378,308.0,390.6798,585.878,643.0,,57.12199999999996,0.09749811394181034,16
53,BM4,,549.7480314960629,509.3031,217.0,252.3953,403.3543,469.0,,65.64569999999998,0.1627494736017441,21
54,BM5,,635.8740157480315,636.8622,292.0,337.2569,522.6142,638.0,,115.38580000000002,0.22078581102465264,17
55,BxM1,,1277.744094488189,1214.378,642.0,801.7312,1035.0157,1225.0,,189.98430000000008,0.1835569257548461,7
56,BxM2,,688.5866141732283,682.0945,298.0,388.3478,510.4331,599.0,,88.56689999999998,0.17351323807174726,18
57,BxM3,,674.2559055118111,645.6417,330.0,416.0198,589.6339,689.0,,99.36609999999996,0.16852168777948479,15
