,Route,*,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,,2022-2023 Change,,2023 Rank
100,M4,,14905.0,15189.3917,5074.0,8425.9035,10140.8044,11166.0,,1025.195599999999,0.10109608267367813,20
101,M5,,6944.0,8657.4852,2513.0,4425.0253,4928.696,5186.0,,257.3040000000001,0.052205289188053006,84
102,M7,,12190.0,10805.8223,3663.0,5576.4357,6803.2955,7328.0,,524.7044999999998,0.07712504917653508,51
103,M8,,1616.0,1674.8082,644.0,573.1971,763.1711,943.0,,179.82889999999998,0.2356337916883907,173
104,M9,,4779.0,5056.956,2592.0,2698.4792,3454.8645,3857.0,,402.13549999999987,0.11639689487098549,110
105,M10,,6083.0,5183.5032,1841.0,3057.966,3415.3244,3328.0,,-87.32439999999997,-0.0255684057420724,119
106,M11,,9271.0,9561.5013,3433.0,6029.1311,7733.7588,8446.0,,712.2412000000004,0.09209508835470799,36
107,M12,,547.0,762.3486,304.0,440.9908,693.7101,939.0,,245.2899,0.3535913633086789,174
108,M14Lcl/SBS,4,26637.0,28387.1252,15282.0,12827.2692,13284.6565,13626.0,,341.34350000000086,0.025694567262616153,13
109,M15Lcl/SBS,,44725.0,46086.835399999996,25399.0,24926.6094,30008.6063,32298.0,,2289.3937000000005,0.07629123715752173,1
110,M20,,2083.0,2083.8625,1057.0,942.6984,1185.1493,1273.0,,87.85069999999996,0.0741262725295454,166
111,M21,,1421.0,1409.7937,577.0,607.2751,844.0088,1011.0,,166.99120000000005,0.19785480909677727,169
112,M22,,2201.0,2150.79,970.0,1045.6319,1385.9201,1523.0,,137.07989999999995,0.09890894864718389,161
113,M23SBS,,13674.0,14441.3294,6543.0,6284.922,7519.7918,8212.0,,692.2082,0.09205151131976819,38
114,M31,,8932.0,9253.9731,3063.0,5126.8085,6652.4891,7571.0,,918.5109000000002,0.1380702600474761,47
115,M34SBS,,14824.0,15587.4591,7433.0,7121.117,8606.4687,9664.0,,1057.5313000000006,0.12287633138083691,24
116,M35,,664.0,613.7317,239.0,176.003,122.2759,119.0,,-3.275899999999993,-0.02679105203887269,190
117,M42,,9430.0,9978.4992,4938.0,5280.2711,7115.8962,7993.0,,877.1037999999999,0.12325977998386202,41
118,M50,,2445.0,2619.7806,1099.0,1154.6491,1625.3081,1922.0,,296.69190000000003,0.18254502023339453,148
119,M55,,2036.0,1867.1717,823.0,959.0474,1289.1057,1445.0,,155.89429999999993,0.12093213147688349,163
120,M57,,5820.0,6447.001,3665.0,3718.6139,4715.5454,5335.0,,619.4546,0.13136435925312054,80
121,M60SBS,,16018.0,14777.9806,7190.0,6729.9858,7590.7808,7109.0,,-481.78080000000045,-0.06346920200883688,55
122,M66,,8161.0,8643.2082,4174.0,4505.89,5343.2399,5910.0,,566.7601000000004,0.10607049479474064,68
123,M72,,4306.0,4469.0279,2212.0,2462.5914,2845.7635,3264.0,,418.2365,0.14696811593795478,121
124,M79SBS,,12337.0,12350.7988,5446.0,6023.2748,6979.5734,8048.0,,1068.4265999999998,0.15307906927377535,40
125,M86SBS,,19035.0,20777.0461,9495.0,9843.6599,11756.3098,13016.0,,1259.690199999999,0.10715013651647722,16
126,M96,,13637.0,13917.8445,4961.0,7881.3513,8903.2575,9393.0,,489.7425000000003,0.055007113969241066,26
127,M98,,1523.0,1464.7723,551.0,875.6947,1041.4212,1133.0,,91.5788,0.08793637002972476,167
128,M100,,14596.0,13815.7658,8873.0,8369.7066,7230.423,5777.0,,-1453.4229999999998,-0.20101493370443194,70
129,M101,,22642.0,22397.9752,13864.0,12471.7192,13910.4147,13509.0,,-401.41469999999936,-0.02885713392858082,14
130,M102,,11868.0,12130.5539,8118.0,7179.2701,8263.6008,8381.0,,117.39919999999984,0.014206785013138563,37
131,M103,,8979.0,9488.9999,5675.0,5413.1312,6697.5304,7166.0,,468.46960000000036,0.06994661793547072,53
132,M104,,7136.0,7095.4477,2349.0,3814.0031,4578.6217,5001.0,,422.3783000000003,0.09225009788426075,88
133,M106,,2183.0,2176.8942,748.0,1158.9946,1349.9567,1495.0,,145.04330000000004,0.10744292761390054,162
134,M116,1,9071.0,8943.4493,3324.0,5167.6838,5441.6438,3835.0,,-1606.6437999999998,-0.29524971847661174,111
135,M125,5,,,,,2598.2648,4622.0,,,,96
136,M OTHER,,345.0,611.8617,478.0,1637.4243,2560.6072999999997,2733.0,,,,
137,Manhattan Local,,373460.0,381164.57259999996,179561.0,202450.9158,240392.7854,256461.0,,16068.214600000007,0.0668415009762602,
138,,,,,,,,,,,,
