name,rid,color,area_px,lon,lat,country,province,admin_divisions,flags
,687,#cd56e2,52,120.1674,30.3161,China,浙江省,杭州市拱墅区: 祥符街道、上塘街道、小河街道、拱宸桥街道、大关街道、和睦街道; 杭州市下城区: 石桥街道、东新街道、文晖街道; 杭州市江干区: 笕桥镇、闸弄口街道(部分),
,628,#c566d3,125,120.0528,30.2928,China,浙江省,杭州市余杭区: 良渚街道(部分)、五常街道、闲林街道(部分); 杭州市西湖区: 三墩镇、留下街道、蒋村街道; 杭州市拱墅区: 康桥街道(部分),
,935,#e159db,37,120.1348,30.2656,China,浙江省,杭州市西湖区: 西湖街道(部分)、古荡街道、北山街道、文新街道、灵隐街道、翠苑街道、西溪街道; 杭州市下城区: 潮鸣街道、朝晖街道、武林街道、天水街道、长庆街道; 杭州市上城区: 湖滨街道; 杭州市拱墅区: 米市巷街道,
,1183,#eb9cea,589,120.5416,30.2652,China,Zhejiang,northern half of Xiaoshan (萧山区),
,1030,#e67ed7,82,120.1859,30.2076,China,浙江省,杭州市滨江区: 长河街道、浦沿街道、西兴街道; 杭州市江干区: 四季青街道、彭埠镇(部分)、采荷街道、凯旋街道(部分); 杭州市上城区: 南星街道、紫阳街道、望江街道,
,902,#df86df,180,120.2744,30.1704,China,浙江省,杭州市萧山区: 宁围镇、新塘街道、蜀山街道、闻堰镇、城厢街道、北干街道、萧山经济技术开发区(部分); 绍兴市柯桥区: 杨汛桥镇,
,809,#d9b2da,4076,119.4033,30.1289,China,"Zhejiang, Anhui","Lin'an (临安市) (also Tonglu (桐庐县), Fuyang (富阳市), Anhui)",
,1001,#e4abd7,1329,119.9385,29.9634,China,Zhejiang,"most of Fuyang (富阳市) (also Tonglu (桐庐县), Hangzhou)",
,791,#d8affa,2857,111.2171,27.8818,China,Hunan,Xinhua (新化县|新化縣),
,756,#d3bcf2,3856,110.5607,27.8568,China,Hunan,Xupu (溆浦县|漵浦縣); central Chenxi (辰溪县|辰溪縣),
,295,#9fdfb2,760,113.8597,27.7782,China,Jiangxi,northern part of Pingxiang,
,691,#cda6fc,1728,111.6061,27.7174,China,Hunan,"western half of Lianyuan (涟源市|漣源市); Lengshuijang (also Xinhua (新化县|新化縣), Shaoyang (邵阳市))",
,436,#b0ddbe,2046,113.5043,27.6756,China,"Hunan, Jiangxi",Liling (醴陵市|醴陵市) (also Jiangxi),
,573,#bface8,2264,110.1322,27.6184,China,Hunan,Huaihua; southern half of Chenxi (辰溪县|辰溪縣),
,746,#d2b7f8,3024,112.6699,27.5879,China,Hunan,most of Xiangxiang (湘乡市|湘鄉市); southern half of Xiangtan Xiàn (湘潭县) (also Zhuzhou (株州市)),
